algoritmo,tipo_instancia,n,repeticao,tempo_s,pico_memoria_bytes,estados,existe,estourou_timeout
backtracking,alvo_pequeno,10,4,1.6707999748177826e-05,2422,15,True,False
meet_in_middle,alvo_pequeno,10,0,2.56669991358649e-05,5688,69,True,False
meet_in_middle,alvo_pequeno,10,1,2.358399797230959e-05,5688,67,True,False
meet_in_middle,alvo_pequeno,10,2,2.3958000383572653e-05,5688,67,True,False
meet_in_middle,alvo_pequeno,10,3,2.7917001716559753e-05,5688,75,True,False
meet_in_middle,alvo_pequeno,10,4,6.195799869601615e-05,5640,65,True,False
backtracking,alvo_pequeno,15,0,1.820800025598146e-05,2798,43,True,False
backtracking,alvo_pequeno,15,1,2.2790998627897352e-05,2734,75,True,False
backtracking,alvo_pequeno,15,2,1.599999814061448e-05,2670,14,True,False
backtracking,alvo_pequeno,15,3,2.0957999367965385e-05,2702,67,True,False
backtracking,alvo_pequeno,15,4,1.5542002074653283e-05,2670,28,True,False
meet_in_middle,alvo_pequeno,15,0,5.366700133890845e-05,40200,385,True,False
meet_in_middle,alvo_pequeno,15,1,5.937499736319296e-05,40216,409,True,False
meet_in_middle,alvo_pequeno,15,2,5.316700116964057e-05,40200,385,True,False
meet_in_middle,alvo_pequeno,15,3,6.291699901339598e-05,40216,414,True,False
meet_in_middle,alvo_pequeno,15,4,6.083300104364753e-05,40216,407,True,False
backtracking,alvo_pequeno,20,0,6.479099829448387e-05,3190,492,True,False
backtracking,alvo_pequeno,20,1,0.00014120799824013375,3094,1291,True,False
backtracking,alvo_pequeno,20,2,1.4792000001762062e-05,2998,20,True,False
backtracking,alvo_pequeno,20,3,3.3041000278899446e-05,3062,208,True,False
backtracking,alvo_pequeno,20,4,4.1833998693618923e-05,3094,282,True,False
meet_in_middle,alvo_pequeno,20,0,0.0015417089998663869,278024,2210,True,False
meet_in_middle,alvo_pequeno,20,1,0.001746082998579368,277912,2073,True,False
meet_in_middle,alvo_pequeno,20,2,0.001826499999879161,278040,2132,True,False
meet_in_middle,alvo_pequeno,20,3,0.0015001249994384125,277896,2051,True,False
meet_in_middle,alvo_pequeno,20,4,0.0015118340015760623,277864,2107,True,False
backtracking,alvo_pequeno,25,0,0.00019079199773841538,3438,1763,True,False
backtracking,alvo_pequeno,25,1,6.791600026190281e-05,3470,544,True,False
backtracking,alvo_pequeno,25,2,3.237499913666397e-05,3374,188,True,False
backtracking,alvo_pequeno,25,3,0.001574499998241663,3630,14268,True,False
backtracking,alvo_pequeno,25,4,0.0011709999998856802,3534,11225,True,False
meet_in_middle,alvo_pequeno,25,0,0.002716749997489387,1722824,12609,True,False
meet_in_middle,alvo_pequeno,25,1,0.0030116250018181745,1722280,14973,True,False
meet_in_middle,alvo_pequeno,25,2,0.0032362089987145737,1722808,14369,True,False
meet_in_middle,alvo_pequeno,25,3,0.003026791000593221,1722344,14306,True,False
meet_in_middle,alvo_pequeno,25,4,0.0029138339996279683,1722776,13347,True,False
backtracking,alvo_pequeno,30,0,0.0016245000006165355,3798,15395,True,False
backtracking,alvo_pequeno,30,1,0.0007115840016922448,3766,6328,True,False
backtracking,alvo_pequeno,30,2,0.002992541001731297,3830,28750,True,False
backtracking,alvo_pequeno,30,3,0.008587625001382548,3830,83341,True,False
backtracking,alvo_pequeno,30,4,7.570899833808653e-05,3670,603,True,False
meet_in_middle,alvo_pequeno,30,0,0.010439500001666602,9435544,68329,True,False
meet_in_middle,alvo_pequeno,30,1,0.010329249998903833,9436632,66415,True,False
meet_in_middle,alvo_pequeno,30,2,0.0102433749998454,9435960,65691,True,False
meet_in_middle,alvo_pequeno,30,3,0.009933083001669729,9436120,65537,True,False
meet_in_middle,alvo_pequeno,30,4,0.010335000002669403,9437192,65545,True,False
backtracking,alvo_pequeno,35,0,0.006316832997981692,4142,60583,True,False
backtracking,alvo_pequeno,35,1,0.002178667000407586,4142,21320,True,False
backtracking,alvo_pequeno,35,2,0.0017499589994258713,4302,14966,True,False
backtracking,alvo_pequeno,35,3,0.00920929199855891,4142,87879,True,False
backtracking,alvo_pequeno,35,4,0.0059755000002041925,4046,59301,True,False
meet_in_middle,alvo_pequeno,35,0,0.06150958400030504,55781776,395383,True,False
meet_in_middle,alvo_pequeno,35,1,0.05869366600018111,55781776,393751,True,False
meet_in_middle,alvo_pequeno,35,2,0.05726366700037033,55780896,393242,True,False
meet_in_middle,alvo_pequeno,35,3,0.05887804200028768,55781520,396518,True,False
meet_in_middle,alvo_pequeno,35,4,0.06042866700227023,55780976,393923,True,False
backtracking,alvo_pequeno,40,0,0.08448649999991176,4374,840990,True,False
backtracking,alvo_pequeno,40,1,0.031005624998215353,4566,296508,True,False
backtracking,alvo_pequeno,40,2,0.0011452079997980036,4374,11157,True,False
backtracking,alvo_pequeno,40,3,0.07311412499984726,4470,717274,True,False
backtracking,alvo_pequeno,40,4,0.018233750000945292,4374,176238,True,False
meet_in_middle,alvo_pequeno,40,0,0.5173092910008563,303751760,2097281,True,False
meet_in_middle,alvo_pequeno,40,1,0.534350624999206,303751632,2097237,True,False
meet_in_middle,alvo_pequeno,40,2,0.46378275000097346,303751920,2097255,True,False
meet_in_middle,alvo_pequeno,40,3,0.5078335830003198,303740864,2097159,True,False
meet_in_middle,alvo_pequeno,40,4,0.5199467090023973,303750736,2098811,True,False
backtracking,alvo_pequeno,45,0,0.024053416000242578,4942,226631,True,False
backtracking,alvo_pequeno,45,1,0.025046917002327973,4910,237151,True,False
backtracking,alvo_pequeno,45,2,0.29758391700306674,4974,2889126,True,False
backtracking,alvo_pequeno,45,3,0.033402334000129486,4974,319992,True,False
backtracking,alvo_pequeno,45,4,0.06833012499919278,4910,657074,True,False
meet_in_middle,alvo_pequeno,45,0,2.641545624999708,1780319792,12582915,True,False
meet_in_middle,alvo_pequeno,45,1,2.7479190420017403,1780316864,12588236,True,False
meet_in_middle,alvo_pequeno,45,2,2.7698318750008184,1780319792,12582916,True,False
meet_in_middle,alvo_pequeno,45,3,2.824313750003057,1780318928,12582913,True,False
meet_in_middle,alvo_pequeno,45,4,2.8402867910008354,1780313824,12582921,True,False
backtracking,alvo_pequeno,50,0,6.13329975749366e-05,5014,432,True,False
backtracking,alvo_pequeno,50,1,0.07081020799887483,5238,686820,True,False
backtracking,alvo_pequeno,50,2,0.01621908400193206,5174,153534,True,False
backtracking,alvo_pequeno,50,3,0.006269707999308594,5270,59087,True,False
backtracking,alvo_pequeno,50,4,0.05482695899991086,5174,533914,True,False
meet_in_middle,alvo_pequeno,50,0,22.752148167000996,,67108865,True,False
meet_in_middle,alvo_pequeno,50,1,21.334805916998448,,67108865,True,False
meet_in_middle,alvo_pequeno,50,2,20.86730591700325,,67108867,True,False
meet_in_middle,alvo_pequeno,50,3,21.480306790999748,,67108865,True,False
meet_in_middle,alvo_pequeno,50,4,20.772248208999372,,67108865,True,False
backtracking,alvo_grande,10,0,1.424999936716631e-05,2646,10,True,False
backtracking,alvo_grande,10,1,1.5749999874969944e-05,2646,24,True,False
backtracking,alvo_grande,10,2,1.8042002920992672e-05,2646,35,True,False
backtracking,alvo_grande,10,3,2.3250002413988113e-05,2646,92,True,False
backtracking,alvo_grande,10,4,2.787500125123188e-05,2646,135,True,False
meet_in_middle,alvo_grande,10,0,2.474999928381294e-05,5784,88,True,False
meet_in_middle,alvo_grande,10,1,2.5833000108832493e-05,5752,96,True,False
meet_in_middle,alvo_grande,10,2,2.579200008767657e-05,5784,95,True,False
meet_in_middle,alvo_grande,10,3,3.095799911534414e-05,5752,93,True,False
meet_in_middle,alvo_grande,10,4,2.4832999770296738e-05,5784,88,True,False
